PRESERVED_CLONED	compact-playground	f6f9cebe65acdd94a284f69f2b9afacd9f529aae
PRESERVED_CLONED	learn-compact	73d34a0afcfbfc0938cbd25dd19d1002655671c3
CLONED	partner-chains	ea4f8bdf9b894fbd4d9e7a9250e6485df3054106
CLONED	compact-zed	37447e0c4653424c40a005e6dd4aa2c50037cccf
CLONED	cquisitor-lib	9cbd642e1b4112a102b43b7f78f0f39467013d6b
CLONED	rust-yamux	5c19d4e744ffe9dab5d9eac662d88ae1f361dae1
CLONED	midnight-trusted-setup	3ea610263b228af24840f7b00661ee22360db6d8
CLONED	rs-merkle	7c997a58410ae9a23e0513d5eed6cfb410633dc8
CLONED	lfdt-project-proposals	8adeefb93325d7755cf8e244c160828b6a6ba150
CLONED	halo2	92d9356722f4e7943bec2dd5d2dcc5ebbedd4ff1
