# Bitwarden source lock and graph inventory

Generated at 2026-09-13T22:01:24.419185+00:00.

Repositories enumerated: 68. Initial clones use depth 1 on each default branch. Existing checkout policy is fetch then merge --ff-only only when clean.

| Repository | Branch | Remote commit | Local commit | Sync | KiB | Graph |
| credential-exchange | main | `22a87d9852ae64a659ae37774bd9194fd362bdde` | `22a87d9852ae64a659ae37774bd9194fd362bdde` | CLONED_DEPTH_1 | 496 | GRAPH_BUILT |
| passwordless-caniuse | main | `9ffb78304f79bd7174ef839dd2bb5bb216dae8d9` | `9ffb78304f79bd7174ef839dd2bb5bb216dae8d9` | CLONED_DEPTH_1 | 304 | GRAPH_BUILT |
| sdk-sm | main | `559b73b4b0572bb22e3b46242e62052b4e8a9c90` | `559b73b4b0572bb22e3b46242e62052b4e8a9c90` | CLONED_DEPTH_1 | 2704 | GRAPH_BUILT |
| terraform-provider-bitwarden-secrets | main | `3824d56c8246baeeb471c9a55834bc72b8093c83` | `3824d56c8246baeeb471c9a55834bc72b8093c83` | CLONED_DEPTH_1 | 676 | GRAPH_BUILT |
| passwordless-dotnet | main | `486c4e93de361542dcf8d3a2a116bdda0e04d6c3` | `486c4e93de361542dcf8d3a2a116bdda0e04d6c3` | CLONED_DEPTH_1 | 10232 | GRAPH_BUILT |
| passwordless-android | main | `3122e4dbce76e1f7702e6e3f21035236b9235b0d` | `3122e4dbce76e1f7702e6e3f21035236b9235b0d` | CLONED_DEPTH_1 | 2260 | GRAPH_BUILT |
| passwordless-blazor-webassembly | main | `76edaf85474cbb4650fc09b1a8a62dd36c5fa496` | `76edaf85474cbb4650fc09b1a8a62dd36c5fa496` | CLONED_DEPTH_1 | 1208 | GRAPH_BUILT |
| dotnet-extensions | main | `bcc1560dbae8d8787eeb0aee1353c51b7c1f9c65` | `bcc1560dbae8d8787eeb0aee1353c51b7c1f9c65` | CLONED_DEPTH_1 | 2128 | GRAPH_BUILT |
| passwordless-blazor | main | `741b63b68422970f7e3b9359742083dbc95221e4` | `741b63b68422970f7e3b9359742083dbc95221e4` | CLONED_DEPTH_1 | 2068 | GRAPH_BUILT |
| self-host | main | `7a1e4860529d3af797913473b05cad83038e7e25` | `7a1e4860529d3af797913473b05cad83038e7e25` | CLONED_DEPTH_1 | 804 | GRAPH_BUILT |
| Handlebars.conf | main | `03d0aeb59277c840e638375fa6e44416528ef682` | `03d0aeb59277c840e638375fa6e44416528ef682` | CLONED_DEPTH_1 | 360 | GRAPH_BUILT |
| sm-action | main | `58972b54eebdda5b46f771e08c135fd41e50445a` | `58972b54eebdda5b46f771e08c135fd41e50445a` | CLONED_DEPTH_1 | 472 | GRAPH_BUILT |
| rotation-daemon | main | `411066b65c0e41af95d5c6b3e9a15e605aa98bd7` | `411066b65c0e41af95d5c6b3e9a15e605aa98bd7` | CLONED_DEPTH_1 | 336 | GRAPH_BUILT |
| test-the-web | main | `64e8ee71161074c1e88c8c0be1214da04b22262a` | `64e8ee71161074c1e88c8c0be1214da04b22262a` | CLONED_DEPTH_1 | 2172 | GRAPH_BUILT |
| billing-relay | main | `9b71a13b8721a6b7e7f10b39faf5ef220b020ff2` | `9b71a13b8721a6b7e7f10b39faf5ef220b020ff2` | CLONED_DEPTH_1 | 536 | GRAPH_BUILT |
| mcp-server | main | `5eea5494854b740d21270798634f894b431f6a5b` | `5eea5494854b740d21270798634f894b431f6a5b` | CLONED_DEPTH_1 | 1396 | GRAPH_BUILT |
| template | main | `452005496298624722fa60bf7c31fc21572c84ac` | `452005496298624722fa60bf7c31fc21572c84ac` | CLONED_DEPTH_1 | 348 | GRAPH_BUILT |
| sm-ansible | main | `f1ed65c5ec5058c80c4239dcbee95e795c373d39` | `f1ed65c5ec5058c80c4239dcbee95e795c373d39` | CLONED_DEPTH_1 | 444 | GRAPH_BUILT |
| passwordless-ios | main | `d11e5ffba1d0d30a6f0063092b0a26b08812eebc` | `d11e5ffba1d0d30a6f0063092b0a26b08812eebc` | CLONED_DEPTH_1 | 8284 | GRAPH_BUILT |
| sdk-go | main | `8265b8d1202f08cb9a352b698f4b1423c189acf2` | `8265b8d1202f08cb9a352b698f4b1423c189acf2` | CLONED_DEPTH_1 | 214484 | GRAPH_BUILT |
| phishing-test-page | main | `832677cd8082ac850e5c487ff3a9937bf1a57f5e` | `832677cd8082ac850e5c487ff3a9937bf1a57f5e` | CLONED_DEPTH_1 | 196 | SEMANTIC_FALLBACK_BUILT |
| brand | main | `a354b22f62a9c5fc52daf1ae28468f8fbcd83d9f` | `a354b22f62a9c5fc52daf1ae28468f8fbcd83d9f` | CLONED_DEPTH_1 | 14496 | SEMANTIC_FALLBACK_BUILT |
| bitwarden-russh | main | `cc20a849c5a11669be835ddc21785867aa6949ab` | `cc20a849c5a11669be835ddc21785867aa6949ab` | CLONED_DEPTH_1 | 280 | GRAPH_BUILT |
